system_id,system_name,status,expected_hospital_count_total,expected_acute_hospital_count,expected_system_bed_count,expected_physician_count,expected_linked_hospital_rows,expected_linked_acute_rows,actual_hospital_count_total,actual_acute_hospital_count,actual_system_bed_count,actual_physician_count,actual_linked_hospital_rows,actual_linked_acute_rows
HSI00000054,Asante Health System,pass,3,3,489,296,3,3,3,3,489,296,3,3
HSI00000055,Ascension Health,pass,120,104,15162,9747,120,104,120,104,15162,9747,120,104
HSI00000057,Aspirus,pass,16,16,699,640,16,16,16,16,699,640,16,16
HSI00000059,Atlantic General Health System,pass,1,1,62,61,1,1,1,1,62,61,1,1
HSI00000060,Atlantic Health System,pass,6,5,1568,1416,6,5,6,5,1568,1416,6,5
HSI00000063,Augusta Health,pass,1,1,193,195,1,1,1,1,193,195,1,1
HSI00000064,Augusta University Health System,pass,4,2,519,1064,4,2,4,2,519,1064,4,2
HSI00000065,Aultman Health Foundation,pass,5,3,410,461,5,3,5,3,410,461,5,3
HSI00000067,Pipeline Health,pass,7,7,808,145,7,7,7,7,808,145,7,7
HSI00000068,Avera Health,pass,42,39,1324,971,42,39,42,39,1324,971,42,39
HSI00000070,BJC Healthcare,pass,16,14,3180,4467,16,14,16,14,3180,4467,16,14
HSI00000071,BMH,pass,2,1,25,86,2,1,2,1,25,86,2,1
HSI00000073,Banner Health,pass,33,29,5258,3960,33,29,33,29,5258,3960,33,29
HSI00000074,Baptist Health,pass,12,10,1512,616,12,10,12,10,1512,616,12,10
HSI00000075,Baptist Health,pass,3,3,1170,949,3,3,3,3,1170,949,3,3
HSI00000076,Baptist Health Care,pass,3,3,362,214,3,3,3,3,362,214,3,3
HSI00000077,Baptist Health South Florida,pass,9,9,2246,1402,9,9,9,9,2246,1402,9,9
HSI00000080,Baptist Healthcare System,pass,10,10,2045,1287,10,10,10,10,2045,1287,10,10
HSI00000081,Baptist Memorial Health Care Corporation,pass,21,19,2368,1184,21,19,21,19,2368,1184,21,19
HSI00000086,Barton Health,pass,2,2,86,135,2,2,2,2,86,135,2,2
HSI00000087,Bassett Healthcare Network,pass,5,5,279,342,5,5,5,5,279,342,5,5
HSI00000089,Baton Rouge General Health System,pass,2,2,425,193,2,2,2,2,425,193,2,2
